# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
bo lan 	波兰	c=2 d=1.16458e-13 t=82043
bo lang 	波浪	c=3 d=1.01546 t=75357
bo li 	玻璃	c=2 d=0.621885 t=82043
bo luo 	菠萝	c=1 d=1 t=57138
bo ming han 	伯明翰	c=1 d=2.38278e-09 t=82043
bo niu 	波妞	c=1 d=1.78957e-82 t=82043
bo o 	博哦	c=1 d=2.73228e-31 t=82043
bo shi 	博士	c=22 d=0.234567 t=82043
bo wen 	博文	c=1 d=1 t=72153
bo wen 	波纹	c=3 d=7.12902e-22 t=82043
bo wen guan 	波纹管	c=6 d=1.44248e-16 t=82043
bu 	不	c=68 d=0.231 t=82043
bu 	布	c=8 d=0.357007 t=82043
bu 	步	c=3 d=1.17531e-18 t=82043
bu 	补	c=10 d=1.04134e-06 t=82043
bu 	部	c=20 d=1.66627e-06 t=82043
bu bao han 	不包含	c=1 d=1.71274e-08 t=82043
bu bao kuo 	不包括	c=2 d=6.8666e-49 t=82043
bu bao zheng 	不保证	c=1 d=4.33049e-08 t=82043
bu bi 	不必	c=1 d=4.60189e-76 t=82043
bu bi yao 	不必要	c=1 d=1 t=69987
bu bian 	不变	c=2 d=3.73049e-06 t=82043
bu bo 	布帛	c=0 d=7.87272e-41 t=82043
bu bo kuo 	布帛扩	c=1 d=7.91218e-40 t=82043
bu cai qu 	不采取	c=1 d=1.01608e-70 t=82043
bu can jia 	不参加	c=2 d=1.93605e-37 t=82043
bu chan sheng 	不产生	c=1 d=1 t=74038
bu chang 	不畅	c=1 d=1.45842e-57 t=82043
bu che di 	不彻底	c=2 d=1.31409e-36 t=82043
bu cheng 	不成	c=1 d=1.33862e-78 t=82043
bu cheng shu 	不成熟	c=1 d=1.20506e-18 t=82043
bu chi 	不吃	c=2 d=5.06795e-05 t=82043
bu chong 	补充	c=82 d=4.3275 t=82043
bu chu 	不出	c=2 d=8.03065e-09 t=82043
bu chu lai 	不出来	c=6 d=0.464618 t=82043
bu cong 	不从	c=2 d=0.427415 t=82043
bu cun 	不存	c=1 d=1.13879e-29 t=82043
bu cun zai 	不存在	c=1 d=1.12746e-29 t=82043
bu cuo 	不错	c=16 d=0.309019 t=82043
bu da 	不大	c=6 d=5.03046e-06 t=82043
bu da biao 	不达标	c=2 d=2.94244e-36 t=82043
bu da yu 	不大于	c=6 d=3.65383e-07 t=82043
bu dai 	不带	c=1 d=2.59011e-20 t=82043
bu dang 	不当	c=1 d=3.001e-17 t=82043
bu dao 	不倒	c=1 d=1 t=46243
bu dao 	不到	c=4 d=5.07048e-11 t=82043
bu dao 	步道	c=1 d=1 t=73157
bu de 	不得	c=4 d=1.94649 t=67450
bu dei 	不得	c=4 d=9.59944e-20 t=82043
bu deng 	不等	c=1 d=6.5297e-16 t=82043
bu deng yu 	不等于	c=1 d=1 t=68676
bu ding 	补丁	c=1 d=4.83552e-41 t=82043
bu dong 	不懂	c=4 d=0.0837432 t=82043
bu dou 	布兜	c=1 d=1 t=57197
bu dou shi 	不都是	c=1 d=1 t=57198
bu duan 	不断	c=1 d=6.22626e-15 t=82043
bu dui 	不对	c=11 d=4.49715e-12 t=82043
bu dui 	部队	c=3 d=6.32261e-71 t=82043
bu dui cheng 	不对称	c=4 d=0.499074 t=82043
bu dui qi 	不对齐	c=3 d=4.28129e-50 t=82043
bu duo 	不多	c=3 d=0.00802655 t=82043
bu e 	不饿	c=0 d=1.84407e-83 t=82043
bu eng 	不鞥	c=1 d=1.31694e-33 t=82043
bu eng ni 	不鞥你	c=1 d=1 t=53541
bu er 	布尔	c=2 d=0.0104621 t=82043
bu er nuo 	布尔诺	c=0 d=4.23941e-53 t=82043
bu er nuo na ge 	布尔诺那个	c=6 d=2.83066e-06 t=82043
bu fa biao 	部发表	c=1 d=4.70155e-34 t=82043
bu fang bian 	不方便	c=1 d=1.52507e-24 t=82043
bu fen 	不分	c=2 d=1.49309e-10 t=82043
bu fen 	部分	c=47 d=0.816538 t=82043
bu feng 	布冯	c=1 d=8.3926e-57 t=82043
bu fu he 	不符合	c=2 d=1.01875e-42 t=82043
bu gai 	不该	c=1 d=3.13583e-34 t=82043
bu gai bian 	不改变	c=1 d=1 t=59251
bu gai dong 	不改动	c=1 d=1 t=49399
bu gan 	不敢	c=3 d=8.91034e-26 t=82043
bu gan ga 	不尴尬	c=1 d=1.94178e-13 t=82043
bu gao 	不高	c=2 d=1 t=73584
bu gei 	不给	c=1 d=1 t=57447
bu gen 	不跟	c=1 d=1 t=72713
bu gou 	不够	c=8 d=5.2249e-11 t=82043
bu guan 	不管	c=5 d=3.80194e-06 t=82043
bu gui fan 	不规范	c=3 d=5.86514e-94 t=82043
bu gui ze 	不规则	c=1 d=8.24464e-83 t=82043
bu guo 	不过	c=19 d=0.00098783 t=82043
bu hao 	不好	c=12 d=0.0258593 t=82043
bu hao yi si 	不好意思	c=1 d=5.64816e-45 t=82043
bu hao yong 	不好用	c=1 d=1 t=72657
bu he 	不合	c=1 d=8.10696e-32 t=82043
bu he gui 	不合规	c=1 d=8.74162e-07 t=82043
bu he shi 	不合适	c=1 d=1.73054e-11 t=82043
bu he shi yi 	不合时宜	c=1 d=8.49455e-52 t=82043
bu hui 	不会	c=17 d=0.00368215 t=82043
bu hui ba 	不会吧	c=1 d=6.75632e-35 t=82043
bu hui jia 	不回家	c=1 d=2.40207e-45 t=82043
bu hui lai 	补回来	c=1 d=9.68011e-89 t=82043
bu huo 	捕获	c=1 d=3.38524e-52 t=82043
bu ji 	不及	c=2 d=5.6784e-49 t=82043
bu ji 	不急	c=3 d=0.000841239 t=82043
bu ji de 	不记得	c=1 d=5.59976e-32 t=82043
bu ji ru 	不计入	c=6 d=0.00279317 t=82043
bu jian 	部件	c=2 d=5.67279e-08 t=82043
bu jian rong 	不兼容	c=1 d=1.63199e-27 t=82043
bu jian yi 	不建议	c=2 d=1.20757e-13 t=82043
bu jie 	不接	c=1 d=5.70183e-68 t=82043
bu jie 	不解	c=1 d=8.94681e-74 t=82043
bu jie shou 	不接受	c=1 d=4.02991e-44 t=82043
bu jie yi 	不介意	c=1 d=3.02437e-20 t=82043
bu jin 	不仅	c=2 d=1.48641e-16 t=82043
bu jin qu 	不进去	c=1 d=1.07266e-31 t=82043
bu jin zhang 	不紧张	c=2 d=4.7195e-20 t=82043
bu jiu 	不久	c=2 d=1.20216e-19 t=82043
bu jiu 	不就	c=1 d=7.04403e-55 t=82043
bu jiu shi 	不就是	c=2 d=4.47759e-48 t=82043
bu ju 	布局	c=21 d=2.30717e-12 t=82043
bu jun yun 	不均匀	c=2 d=5.43738e-31 t=82043
bu ka 	不卡	c=2 d=1.52373e-43 t=82043
bu kai 	不开	c=1 d=1 t=47630
bu kai che 	不开车	c=1 d=1.46149e-23 t=82043
bu kao lv 	不考虑	c=3 d=2.02798e-24 t=82043
bu kao pu 	不靠谱	c=1 d=0.008396 t=82043
bu ke 	不可	c=1 d=2.13226e-55 t=82043
bu ke hui fu 	不可恢复	c=2 d=1.78698e-35 t=82043
bu ke ji 	不可及	c=1 d=1.38879e-11 t=82043
bu ke jian 	不可见	c=3 d=1.04353e-35 t=82043
bu ke neng 	不可能	c=1 d=1 t=55821
bu ke xing 	不可行	c=1 d=2.36832e-55 t=82043
bu ke yi 	不可以	c=1 d=8.8641e-53 t=82043
bu ke yong 	不可用	c=1 d=4.51567e-30 t=82043
bu kong 	布控	c=0 d=1.08924e-36 t=82043
bu kong zhi 	不控制	c=1 d=1.10018e-35 t=82043
bu kong zhi 	布控至	c=1 d=1.0947e-35 t=82043
bu kua 	不跨	c=2 d=9.65825e-53 t=82043
bu kua 	布跨	c=13 d=3.23567e-12 t=82043
bu lai 	不来	c=1 d=2.36719e-20 t=82043
bu lao tao 	不老套	c=1 d=7.13202e-54 t=82043
bu le 	补了	c=1 d=1 t=45292
bu li 	不利	c=4 d=1.69685e-15 t=82043
bu li 	不理	c=1 d=1.78355e-13 t=82043
bu li jie 	不理解	c=1 d=3.52748e-95 t=82043
bu li yu 	不利于	c=2 d=2.20602e-14 t=82043
bu li yu a 	不利于啊	c=1 d=8.80461e-62 t=82043
bu liang 	不良	c=1 d=1.57559e-25 t=82043
bu liao 	不了	c=9 d=0.33454 t=82043
bu ling 	不灵	c=1 d=0.219808 t=82043
bu man 	不满	c=1 d=1.32489e-45 t=82043
bu man zu 	不满足	c=4 d=1.16259e-37 t=82043
bu mang 	不忙	c=1 d=1.21045e-41 t=82043
bu men 	部门	c=4 d=6.83025e-16 t=82043
bu ming 	不明	c=3 d=1 t=75462
bu ne ge 	不呢个	c=1 d=1.13373e-06 t=82043
bu neng 	不能	c=74 d=1.36025 t=82043
bu neng ni 	不能你	c=1 d=1 t=54329
bu pi 	不批	c=1 d=1 t=61894
bu pi pei 	不匹配	c=4 d=2.59435e-13 t=82043
bu qi 	不气	c=1 d=1 t=60861
bu qiang 	不强	c=1 d=4.93657e-16 t=82043
bu qiang 	补强	c=1 d=4.4715e-32 t=82043
bu qing chu 	不清楚	c=5 d=0.344728 t=82043
bu qu 	不去	c=2 d=7.27138e-17 t=82043
bu quan 	不全	c=1 d=0.551563 t=82043
bu quan 	补全	c=6 d=0.554327 t=82043
bu que ding 	不确定	c=2 d=9.72099e-21 t=82043
bu ran 	不然	c=8 d=0.00927901 t=82043
bu rang 	不让	c=1 d=3.68443e-19 t=82043
bu re 	不热	c=2 d=5.46353e-07 t=82043
bu rong yi 	不容易	c=2 d=8.65439e-36 t=82043
bu shan yu 	不善于	c=1 d=7.85055e-95 t=82043
bu shang 	不上	c=4 d=3.48311e-05 t=82043
bu shang qu 	不上去	c=1 d=9.00784e-07 t=82043
bu shao yu 	不少于	c=1 d=1.52083e-50 t=82043
bu she 	布设	c=5 d=1.32291e-14 t=82043
bu she ji 	不涉及	c=1 d=8.47695e-57 t=82043
bu she zhi 	不设置	c=1 d=1 t=48715
bu shen qing 	不申请	c=1 d=0.189191 t=82043
bu shi 	不是	c=89 d=0.439571 t=82043
bu shi yong 	不适用	c=1 d=1 t=81374
bu shou li 	不受理	c=1 d=7.59006e-51 t=82043
bu shu 	部署	c=8 d=1.27363e-22 t=82043
bu shu fu 	不舒服	c=1 d=3.43874e-60 t=82043
bu shu ru 	不输入	c=1 d=1 t=54375
bu shu xi 	不熟悉	c=1 d=2.83202e-41 t=82043
bu shuo 	不说	c=1 d=1 t=81147
bu song 	不送	c=1 d=2.37372e-23 t=82043
bu suan 	不算	c=2 d=7.43495e-14 t=82043
bu suo wei 	不所谓	c=1 d=0.0342181 t=82043
bu tai 	不太	c=5 d=2.70142e-15 t=82043
bu teng 	不疼	c=1 d=4.02306e-24 t=82043
bu ti 	不提	c=2 d=2.42711e-20 t=82043
bu ti gong 	不提供	c=1 d=1 t=60333
bu tian 	不填	c=1 d=3.41879e-21 t=82043
bu tian xie 	不填写	c=1 d=1.21883e-34 t=82043
bu tie 	补贴	c=5 d=0.000293099 t=82043
bu ting hua 	不听话	c=1 d=8.5464e-06 t=82043
bu tong 	不同	c=14 d=9.31095e-14 t=82043
bu tong 	不通	c=1 d=6.09863e-36 t=82043
bu tong guo 	不通过	c=1 d=1 t=54095
bu tong yi 	不同意	c=1 d=6.54528e-44 t=82043
bu wan 	不完	c=1 d=3.19537e-20 t=82043
bu wan shan 	不完善	c=1 d=3.41635e-42 t=82043
bu wei 	部位	c=2 d=0.224249 t=82043
bu wen ding 	不稳定	c=3 d=0.425283 t=82043
bu xi huan 	不喜欢	c=1 d=4.01827e-10 t=82043
bu xia lai 	不下来	c=1 d=4.3454e-19 t=82043
bu xia yu 	不下雨	c=1 d=1.86114e-14 t=82043
bu xian 	不嫌	c=1 d=0.0102549 t=82043
bu xian shi 	不显示	c=4 d=0.562705 t=82043
bu xian su 	不限速	c=1 d=1 t=61683
bu xiang 	不向	c=1 d=1.63115e-21 t=82043
bu xiang 	不想	c=3 d=0.00618889 t=82043
bu xiang deng 	不相等	c=1 d=3.27615e-49 t=82043
bu xiao 	不小	c=2 d=1.41584e-32 t=82043
bu xiao xin 	不小心	c=2 d=4.58001e-20 t=82043
bu xiao yu 	不小于	c=4 d=4.96839e-07 t=82043
bu xie 	不写	c=2 d=4.77276e-05 t=82043
bu xie 	不屑	c=2 d=2.5647e-34 t=82043
bu xin ren 	不信任	c=1 d=1.9346e-87 t=82043
bu xing 	不行	c=10 d=0.00367942 t=82043
bu xiu 	不锈	c=3 d=2.61935e-05 t=82043
bu xiu gang 	不锈钢	c=8 d=0.000189713 t=82043
bu xu 	不许	c=3 d=0.00285124 t=82043
bu xu yao 	不需要	c=19 d=0.299692 t=82043
bu xun 	不逊	c=0 d=8.90428e-19 t=82043
bu xun yuan 	不逊院	c=1 d=8.94891e-18 t=82043
bu ya suo 	不压缩	c=2 d=0.166127 t=82043
bu yao 	不要	c=11 d=0.0264234 t=82043
bu yao da 	不要打	c=1 d=8.09455e-14 t=82043
bu yao qian 	不要钱	c=4 d=1.76685e-23 t=82043
bu yao qiu 	不要求	c=1 d=2.74084e-09 t=82043
bu yi 	不一	c=1 d=6.49714e-16 t=82043
bu yi 	不宜	c=4 d=1.97531 t=75223
bu yi ban 	不一般	c=1 d=1.41656e-38 t=82043
bu yi ding 	不一定	c=2 d=5.63759e-23 t=82043
bu yi lai 	不依赖	c=1 d=5.70413e-14 t=82043
bu yi yang 	不一样	c=14 d=0.0118406 t=82043
bu yi zhi 	不一致	c=5 d=0.32628 t=82043
bu ying 	不应	c=4 d=6.2808e-11 t=82043
bu ying gai 	不应该	c=3 d=2.47362e-08 t=82043
bu yong 	不用	c=25 d=0.0160033 t=82043
bu yong xuan 	部永宣	c=1 d=2.85164e-34 t=82043
bu yuan yi 	不愿意	c=1 d=3.60744e-94 t=82043
bu yue 	不约	c=1 d=1.52637e-34 t=82043
bu yun xu 	不允许	c=2 d=5.26917e-22 t=82043
bu zai 	不再	c=3 d=0.551563 t=82043
bu zai 	不在	c=10 d=0.000746586 t=82043
bu zai 	布载	c=7 d=0.613379 t=82043
bu zai hang 	不在行	c=1 d=1 t=60069
bu zen me 	不怎么	c=1 d=1.13253e-23 t=82043
bu zeng jia 	不增加	c=1 d=3.8262e-22 t=82043
bu zhan 	不沾	c=1 d=1 t=67491
bu zhao 	不找	c=0 d=8.30202e-48 t=82043
bu zhao ni 	不找你	c=1 d=8.34364e-47 t=82043
bu zheng gui 	不正规	c=1 d=3.54551e-08 t=82043
bu zhi 	不止	c=1 d=1.60436e-32 t=82043
bu zhi 	布置	c=263 d=3.03517 t=82043
bu zhi chi 	不支持	c=2 d=1.97531 t=66878
bu zhi dao 	不知道	c=18 d=0.280832 t=82043
bu zhi tu 	布置图	c=3 d=4.64607e-12 t=82043
bu zhi yu 	不至于	c=3 d=3.22364e-06 t=82043
bu zhou 	步骤	c=7 d=0.810584 t=82043
bu zhu 	不住	c=2 d=4.51587e-22 t=82043
bu zhu 	补助	c=1 d=1 t=64732
bu zhu yi 	不注意	c=1 d=3.13957e-48 t=82043
bu zhun 	不准	c=2 d=4.31697e-30 t=82043
bu zu 	不足	c=6 d=5.27741e-11 t=82043
bu zuo 	不做	c=2 d=8.13236e-10 t=82043
bu zuo mei 	不作美	c=1 d=5.50964e-47 t=82043
bu zuo wei 	不作为	c=1 d=3.17879e-47 t=82043
ca 	擦	c=1 d=2.86496e-30 t=82043
ca diao 	擦掉	c=0 d=0.1 t=61166
ca han 	擦汗	c=1 d=1.29645e-26 t=82043
ca han ru 	擦汗如	c=1 d=1.30295e-25 t=82043
ca hng 	擦哼	c=2 d=3.37546e-18 t=82043
ca hng du 	擦哼度	c=1 d=8.23088e-34 t=82043
cai 	彩	c=1 d=1 t=62789
cai 	才	c=14 d=0.0162445 t=82043
cai 	猜	c=2 d=1.42715e-08 t=82043
cai 	菜	c=2 d=6.71576e-23 t=82043
cai 	蔡	c=3 d=0.121238 t=82043
cai 	采	c=2 d=1.65923e-71 t=82043
cai chu 	才出	c=1 d=9.86087e-42 t=82043
cai dan 	菜单	c=4 d=1.0865e-34 t=82043
cai dan lan 	菜单栏	c=1 d=5.77146e-05 t=82043
cai dang 	才党	c=1 d=1 t=57223
cai diao 	裁掉	c=1 d=4.5886e-42 t=82043
cai gou 	采购	c=4 d=1.39801e-30 t=82043
cai ji 	采集	c=1 d=4.11005e-11 t=82043
cai jia 	蔡家	c=1 d=2.89926e-23 t=82043
cai jian 	裁剪	c=2 d=2.29324e-29 t=82043
cai jing 	财经	c=2 d=8.04899e-39 t=82043
cai kong 	采空	c=1 d=3.60069e-72 t=82043
cai lai 	才来	c=1 d=2.77792e-20 t=82043
cai liao 	材料	c=68 d=9.8307e-06 t=82043
cai neng 	才能	c=2 d=4.32593e-25 t=82043
cai piao 	彩票	c=1 d=1 t=55625
cai qie 	裁切	c=2 d=1.99005 t=68907
cai qu 	采取	c=5 d=6.52796e-08 t=82043
cai se 	彩色	c=1 d=7.82362e-84 t=82043
cai shi 	才是	c=2 d=1.25296e-06 t=82043
cai shuo 	才说	c=1 d=1 t=56018
cai wu 	财务	c=7 d=1.88692 t=67311
cai xi 	菜系	c=2 d=1.82181e-49 t=82043
cai xu yao 	才需要	c=1 d=9.29324e-21 t=82043
cai yo 	才哟	c=1 d=2.07791e-17 t=82043
cai yo he ge 	才哟合格	c=1 d=6.0015e-53 t=82043
cai yo nong ge 	才哟弄个	c=1 d=2.08832e-16 t=82043
cai yong 	采用	c=166 d=1.91209 t=82043
cai you 	才有	c=1 d=3.96034e-45 t=82043
cai zheng 	财政	c=1 d=1 t=76032
cai zhi 	材质	c=13 d=1.22527 t=82043
cai zuo 	才做	c=1 d=8.4318e-53 t=82043
can 	惨	c=1 d=3.192e-37 t=82043
can 	灿	c=9 d=6.52259e-05 t=82043
can guan 	参观	c=3 d=1.39889e-08 t=82043
can he 	掺和	c=1 d=1 t=71335
can jia 	参加	c=4 d=1.60911e-08 t=82043
can jian 	参见	c=4 d=4.82073e-05 t=82043
can kan 	参看	c=1 d=1.04223e-16 t=82043
can kao 	参考	c=80 d=0.0528705 t=82043
can liang 	参量	c=1 d=1 t=64267
can ru 	掺入	c=1 d=1.45346e-17 t=82043
can sheng 	残生	c=1 d=1 t=45684
can shu 	参数	c=104 d=0.287941 t=82043
can shu hua 	参数化	c=1 d=1 t=80840
can su 	参宿	c=1 d=3.79317e-67 t=82043
can yu 	参与	c=34 d=1.3177e-08 t=82043
can zao 	惨遭	c=1 d=5.312e-29 t=82043
can zhao 	参照	c=7 d=0.00167166 t=82043
cang 	藏	c=1 d=1.34263e-25 t=82043
cao 	曹	c=15 d=0.0191587 t=82043
cao 	槽	c=13 d=2.17491e-05 t=82043
cao 	漕	c=1 d=7.76633e-27 t=82043
cao 	艹	c=1 d=2.07713e-41 t=82043
cao 	草	c=2 d=1.03223 t=60380
cao bao lu 	漕宝路	c=1 d=2.24745e-27 t=82043
cao di 	草地	c=1 d=1 t=59494
cao gao 	草稿	c=1 d=7.23019e-09 t=82043
cao he 	漕河	c=1 d=7.59935e-36 t=82043
cao kan 	曹侃	c=1 d=1 t=72434
cao kou 	槽口	c=2 d=4.73655e-33 t=82043
cao tu 	草图	c=6 d=1 t=81107
cao zuo 	操作	c=50 d=0.0055494 t=82043
ce 	侧	c=54 d=0.525969 t=82043
ce 	册	c=16 d=8.51278e-15 t=82043
ce 	测	c=2 d=4.31036e-12 t=82043
ce 	策	c=2 d=1.59001e-51 t=82043
ce ban 	侧板	c=5 d=1.14464e-30 t=82043
ce bi 	侧壁	c=1 d=2.3892e-70 t=82043
ce bian 	侧边	c=1 d=9.2136e-08 t=82043
ce di 	侧底	c=2 d=2.52659e-22 t=82043
ce dian 	测点	c=4 d=1.3058e-14 t=82043
ce ding 	测定	c=1 d=2.62328e-52 t=82043
ce hua 	侧滑	c=2 d=4.32005e-09 t=82043
ce hua 	策划	c=3 d=4.3417e-09 t=82043
ce hui 	测绘	c=2 d=5.56934e-19 t=82043
ce liang 	测量	c=8 d=0.0380064 t=82043
ce lu 	侧录	c=0 d=0.1 t=71783
ce lu e 	侧录额	c=1 d=1 t=71784
ce lve 	策略	c=8 d=0.000188889 t=82043
ce mian 	侧面	c=5 d=1.48446e-20 t=82043
ce qiang 	侧墙	c=2 d=5.55366e-23 t=82043
ce shi 	测试	c=26 d=0.10314 t=82043
ce su 	测速	c=1 d=1.26422e-23 t=82043
ce suan 	测算	c=1 d=0.177284 t=82043
ce tu 	侧土	c=1 d=1 t=66825
ce xiang 	侧向	c=1 d=1 t=63290
cen 	岑	c=1 d=1.06108e-22 t=82043
ceng 	层	c=43 d=0.00293554 t=82043
ceng mian 	层面	c=1 d=7.36473e-20 t=82043
ceng shu 	层数	c=1 d=2.22086e-34 t=82043
ceng tai 	层台	c=2 d=9.01551e-17 t=82043
ceng ti 	曾提	c=0 d=2.17725e-37 t=82043
ceng ti a 	曾提啊	c=1 d=2.18817e-36 t=82043
cha 	叉	c=2 d=4.058e-08 t=82043
cha 	差	c=19 d=7.75576e-11 t=82043
cha 	插	c=6 d=4.12739e-30 t=82043
cha 	查	c=31 d=0.0643783 t=82043
cha 	茶	c=4 d=4.83634e-43 t=82043
cha bo li 	差玻璃	c=1 d=2.60213e-45 t=82043
cha bu duo 	差不多	c=9 d=0.29523 t=82043
cha chong 	查重	c=5 d=6.57975e-21 t=82043
cha chu lai 	查出来	c=1 d=6.92146e-25 t=82043
cha dao 	查到	c=1 d=1.44646e-19 t=82043
cha duo 	差多	c=1 d=3.06988e-78 t=82043
cha fang 	查房	c=1 d=6.83258e-20 t=82043
cha jian 	插件	c=17 d=0.00166989 t=82043
cha kan 	查看	c=28 d=0.94045 t=82043
cha le 	差了	c=2 d=7.99175e-31 t=82043
cha lu 	岔路	c=3 d=4.73809e-23 t=82043
cha ru 	插入	c=25 d=2.34901e-17 t=82043
cha tu 	插图	c=1 d=1 t=51794
cha xun 	查询	c=6 d=0.00419023 t=82043
cha yi 	差异	c=2 d=5.16131e-14 t=82043
cha yue 	查阅	c=1 d=4.40657e-07 t=82043
cha zhao 	查找	c=1 d=2.5709e-50 t=82043
cha zhi 	差值	c=5 d=1.47062e-08 t=82043
chai 	拆	c=6 d=3.69586e-26 t=82043
chai cheng 	拆成	c=1 d=1.39258e-43 t=82043
chai chu 	拆除	c=12 d=2.99173e-10 t=82043
chai diao 	拆掉	c=1 d=4.6116e-42 t=82043
chai fen 	拆分	c=6 d=4.82648e-19 t=82043
chai qian 	拆迁	c=1 d=8.08053e-23 t=82043
chan 	产	c=1 d=1.37489e-69 t=82043
chan 	铲	c=1 d=3.05155e-37 t=82043
chan chu 	产出	c=1 d=1 t=69982
chan guan 	禅关	c=2 d=1.99501 t=45619
chan neng 	产能	c=2 d=5.95234e-20 t=82043
chan pin 	产品	c=3 d=0.0214936 t=82043
chan ping 	铲平	c=1 d=1 t=81274
chan quan 	产权	c=4 d=4.96823e-36 t=82043
chan shen 	缠身	c=1 d=1 t=62040
chan sheng 	产生	c=19 d=3.11299e-12 t=82043
chan ye 	产业	c=5 d=1 t=66437
chang 	厂	c=22 d=3.96087e-09 t=82043
chang 	唱	c=2 d=4.09892e-89 t=82043
chang 	场	c=3 d=1 t=75350
chang 	常	c=3 d=9.42085e-05 t=82043
chang 	昌	c=1 d=6.58235e-81 t=82043
chang 	长	c=86 d=0.450712 t=82043
chang an 	长安	c=2 d=5.26468e-12 t=82043
chang an qu 	长安区	c=1 d=1.23746e-36 t=82043
chang cha 	长查	c=1 d=1.68083e-21 t=82043
chang chang 	尝尝	c=1 d=1 t=77311
chang cheng 	长城	c=1 d=1 t=48321
chang dao 	尝到	c=1 d=1 t=57142
chang di 	场地	c=11 d=4.3642e-11 t=82043
chang du 	长度	c=98 d=0.0247272 t=82043
chang fa 	长发	c=1 d=2.08216e-40 t=82043
chang gui 	常规	c=6 d=0.00120654 t=82043
chang ji 	昌吉	c=0 d=0.1 t=75837
chang ji na ge 	昌吉那个	c=1 d=1 t=75838
chang jia 	厂家	c=6 d=1.12826e-08 t=82043
chang jian 	常见	c=1 d=2.88726e-33 t=82043
chang jiang 	长江	c=49 d=2.13368 t=82043
chang jiang lu 	长江路	c=24 d=2.05095 t=82043
chang jing 	场景	c=2 d=4.04626e-13 t=82043
chang kai 	敞开	c=5 d=2.88981e-14 t=82043
chang liang 	常量	c=3 d=2.37475 t=66816
chang qi 	长期	c=11 d=0.160567 t=82043
chang qi xing 	长期性	c=1 d=1 t=58480
chang qing teng 	常青藤	c=3 d=2.57939e-30 t=82043
chang rong mao 	肠绒毛	c=1 d=1 t=80476
chang san jiao 	长三角	c=1 d=4.97346e-19 t=82043
chang sha 	长沙	c=1 d=1.68925e-21 t=82043
chang shi 	尝试	c=8 d=0.00103857 t=82043
chang shi 	常识	c=1 d=1 t=68212
chang tai 	常态	c=1 d=1.18466e-23 t=82043
chang tu 	长途	c=4 d=7.58619e-45 t=82043
chang wei 	常委	c=1 d=1 t=76039
chang xi bi 	长细比	c=1 d=1 t=52492
chang xing 	长兴	c=6 d=1 t=66407
chang xing dao 	长兴岛	c=13 d=1.00007 t=65174
chang yong 	常用	c=4 d=7.71577e-09 t=82043
chang you 	畅游	c=2 d=1.12996e-18 t=82043
chang zhang 	厂长	c=2 d=0.0295461 t=82043
chao 	吵	c=2 d=1.84366 t=68590
chao 	巢	c=6 d=2.52318e-92 t=82043
chao 	抄	c=6 d=3.1616e-18 t=82043
chao 	朝	c=1 d=1 t=76546
chao 	超	c=11 d=1.08458e-14 t=82043
chao chao 	吵吵	c=1 d=1 t=57200
chao chao 	抄抄	c=2 d=1.99005 t=57203
chao gao 	超高	c=27 d=2.90738e-12 t=82043
chao guo 	超过	c=9 d=0.000497955 t=82043
chao guo lai 	抄过来	c=1 d=1.07972e-20 t=82043
chao ji 	超级	c=1 d=2.09808e-12 t=82043
chao jia 	吵架	c=1 d=4.97738e-87 t=82043
chao pin 	超频	c=1 d=2.26148e-12 t=82043
chao shi 	超市	c=2 d=1.47775e-06 t=82043
chao tu 	超图	c=1 d=1 t=81106
chao xi 	抄袭	c=1 d=5.60948e-23 t=82043
chao xiao 	嘲笑	c=1 d=1 t=57062
chao xie 	抄写	c=2 d=2.41573e-45 t=82043
chao zai 	超载	c=2 d=2.8404e-17 t=82043
chao zuo 	炒作	c=2 d=0.00271219 t=82043
che 	扯	c=7 d=1.95718e-13 t=82043
che 	车	c=43 d=0.0285934 t=82043
che chuang 	车窗	c=1 d=1.36528e-16 t=82043
che ci 	车次	c=1 d=9.34936e-33 t=82043
che dao 	车道	c=19 d=0.0642483 t=82043
che di 	彻底	c=4 d=2.53926e-22 t=82043
che gong 	车工	c=0 d=2.12863e-36 t=82043
che guan 	车管	c=1 d=1 t=61109
che huo 	车祸	c=2 d=1.03227e-18 t=82043
che li zi 	车厘子	c=1 d=1 t=77299
che liang 	车辆	c=18 d=0.00260686 t=82043
che liu liang 	车流量	c=1 d=4.21482e-13 t=82043
che lun 	车轮	c=2 d=1.77105 t=59223
che pi 	扯皮	c=1 d=5.52408e-19 t=82043
che qiao 	撤侨	c=2 d=7.43433e-14 t=82043
che qiao 	车桥	c=2 d=6.85363e-13 t=82043
che shang 	车上	c=1 d=0.00562801 t=82043
che shu 	车数	c=1 d=8.13348e-41 t=82043
che su 	车速	c=2 d=4.23594e-13 t=82043
che xin dao 	车信道	c=1 d=1 t=72156
che xing 	车行	c=4 d=3.79573e-17 t=82043
che xing dao 	车行道	c=16 d=0.00164502 t=82043
che yi 	车衣	c=1 d=9.89176e-20 t=82043
che zai 	车载	c=1 d=1.88927e-14 t=82043
che zhan 	车展	c=4 d=3.05113e-06 t=82043
