# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
na ben 	哪本	c=1 d=1 t=11532
na bian 	那邊	c=8 d=0.802703 t=11833
na bu shi 	那不是	c=1 d=3.37259e-08 t=11833
na chu lai 	拿出來	c=2 d=1.78663 t=10483
na dao 	拿到	c=2 d=0.00814786 t=11833
na ge 	哪個	c=8 d=0.646803 t=11833
na ge 	那個	c=33 d=1.58858 t=11833
na jia 	哪家	c=1 d=1 t=9900
na jian 	哪件	c=1 d=0.179964 t=11833
na jian 	那件	c=0 d=1.01039e-05 t=11833
na jiu 	那就	c=4 d=0.26982 t=11833
na jiu shi 	那就是	c=2 d=4.67826e-05 t=11833
na ju hua 	那句話	c=1 d=2.85173e-05 t=11833
na ke neng 	那可能	c=1 d=0.00360656 t=11833
na ke yi 	那可以	c=1 d=9.40133e-10 t=11833
na kuai 	那塊	c=2 d=0.0015415 t=11833
na li 	哪裏	c=5 d=0.882497 t=11833
na li 	那裏	c=1 d=1.50523e-17 t=11833
na me 	那麼	c=10 d=0.373835 t=11833
na ni 	那你	c=1 d=1.58871e-05 t=11833
na qi lai 	拿起來	c=1 d=1 t=11501
na shi 	那是	c=1 d=6.12835e-05 t=11833
na shi 	那時	c=1 d=6.09778e-05 t=11833
na shi hou 	那時候	c=2 d=0.469022 t=11833
na tao 	那套	c=1 d=3.75074e-13 t=11833
na tiao 	那條	c=1 d=1 t=11336
na xie 	哪些	c=5 d=0.00109037 t=11833
na yang 	那樣	c=2 d=0.000300519 t=11833
na ye 	那夜	c=1 d=0.585669 t=11833
na ye mei you 	那也沒有	c=1 d=0.261846 t=11833
na yi zhong 	哪一種	c=1 d=0.036334 t=11833
na you 	哪有	c=2 d=8.85639e-07 t=11833
na you 	那有	c=1 d=2.46128e-08 t=11833
na zhe 	拿着	c=2 d=0.0397558 t=11833
na zhe ge 	那這個	c=1 d=0.000777055 t=11833
nai a ni 	奈啊你	c=1 d=0.0139818 t=11833
nai nai 	奶奶	c=4 d=0.0453525 t=11833
nan 	南	c=9 d=1.4472 t=11833
nan 	男	c=1 d=1.11241e-18 t=11833
nan 	難	c=1 d=0.371577 t=11833
nan dao 	難道	c=1 d=6.57606e-11 t=11833
nan dian 	難點	c=1 d=1.10611e-10 t=11833
nan dong 	難懂	c=1 d=3.53876e-15 t=11833
nan du 	難度	c=1 d=0.0337087 t=11833
nan ge 	男個	c=1 d=0.00104891 t=11833
nan hai 	男孩	c=2 d=0.0237418 t=11833
nan jing 	南京	c=1 d=0.00151098 t=11833
nan nv 	男女	c=1 d=1.46807e-17 t=11833
nan ren 	男人	c=2 d=0.421799 t=11833
nan shou 	難受	c=1 d=0.532592 t=11833
nan tong 	南通	c=7 d=0.0103192 t=11833
nan xing 	男性	c=1 d=0.436049 t=11833
nan zi 	男子	c=0 d=2.84776e-19 t=11833
nao can 	腦殘	c=1 d=0.137381 t=11833
ne 	呢	c=44 d=1.85722 t=11833
nei 	內	c=14 d=0.275395 t=11833
nei bu 	內部	c=4 d=0.150313 t=11833
nei he 	內核	c=1 d=0.0141931 t=11833
nei li 	內力	c=2 d=0.00308303 t=11833
nei rong 	內容	c=24 d=0.97531 t=11833
nei rong bu 	內容不	c=1 d=0.0407622 t=11833
nei tong 	內筒	c=1 d=1 t=10087
nei wang 	內網	c=1 d=8.90276e-16 t=11833
nei zhi 	內置	c=1 d=0.0668703 t=11833
neng 	能	c=45 d=2.13158 t=11833
neng bu neng 	能不能	c=2 d=0.529935 t=11833
neng you 	能有	c=1 d=0.000706632 t=11833
neng yuan 	能源	c=0 d=1.56182e-11 t=11833
ni 	你	c=93 d=4.23712 t=11833
ni 	倪	c=2 d=0.0257492 t=11833
ni 	尼	c=7 d=1.02849e-07 t=11833
ni ba 	你爸	c=1 d=0.0581343 t=11833
ni ba ma 	你爸媽	c=1 d=0.00400585 t=11833
ni ba ma 	尼爸媽	c=1 d=1.87111e-18 t=11833
ni bu shi 	你不是	c=1 d=1 t=10236
ni bu yao 	你不要	c=1 d=0.767206 t=11833
ni dang shi 	你當時	c=1 d=1.35474e-13 t=11833
ni de 	你的	c=5 d=0.101774 t=11833
ni dou 	你都	c=1 d=0.000825105 t=11833
ni dou mei you 	你都沒有	c=1 d=0.486752 t=11833
ni gua 	你掛	c=1 d=5.46725e-15 t=11833
ni hai 	你還	c=1 d=0.127454 t=11833
ni hai shi 	你還是	c=1 d=2.68192e-18 t=11833
ni hao 	你好	c=1 d=0.226502 t=11833
ni huan suo 	你還所	c=1 d=0.00848038 t=11833
ni hui 	你會	c=1 d=1 t=11334
ni hui lai 	你回來	c=1 d=0.242926 t=11833
ni jiu 	你就	c=1 d=4.62526e-18 t=11833
ni ju ran 	尼居然	c=1 d=1.36552e-18 t=11833
ni jue de 	你覺得	c=1 d=1 t=10741
ni kan 	你看	c=2 d=1.7646e-05 t=11833
ni kan kan kan 	你看看看	c=1 d=1.70536e-15 t=11833
ni ke yi 	你可以	c=3 d=0.193817 t=11833
ni ma 	你媽	c=4 d=0.177538 t=11833
ni men 	你們	c=35 d=1.85229 t=11833
ni men jiu ke yi 	你們就可以	c=1 d=1 t=10813
ni ming tian 	你明天	c=1 d=1 t=10142
ni na bian 	你那邊	c=1 d=0.00527382 t=11833
ni nian 	你念	c=1 d=0.000710174 t=11833
ni qu 	你去	c=1 d=0.852144 t=11833
ni rang ta 	你讓他	c=1 d=6.08618e-12 t=11833
ni shen me 	你什麼	c=1 d=0.0478349 t=11833
ni shi 	你是	c=1 d=0.0977834 t=11833
ni shi bu shi 	你是不是	c=1 d=2.84776e-18 t=11833
ni shuo 	你說	c=1 d=3.41414e-05 t=11833
ni wen 	你問	c=0 d=1.89416e-16 t=11833
ni wen xia 	你問下	c=1 d=1.90366e-15 t=11833
ni xi shu 	你係數	c=1 d=0.0816756 t=11833
ni xian zai 	你現在	c=1 d=0.600496 t=11833
ni xian zi a 	你仙子啊	c=1 d=1 t=10254
ni xiang 	你想	c=2 d=0.0018363 t=11833
ni xiu xi 	你休息	c=1 d=0.0135686 t=11833
ni yao 	你要	c=1 d=0.00106477 t=11833
ni yao bu 	你要不	c=1 d=2.24363e-07 t=11833
ni yi ge 	你一個	c=1 d=1.88959e-16 t=11833
ni yi ge ren 	你一個人	c=1 d=0.000564257 t=11833
ni you 	你有	c=2 d=0.0815461 t=11833
ni zai 	你再	c=1 d=0.000156102 t=11833
ni zao di 	你早地	c=1 d=0.299692 t=11833
ni zhe 	你這	c=12 d=2.39386 t=11833
ni zhe 	逆着	c=1 d=0.000383949 t=11833
ni zhe bian 	你這邊	c=6 d=0.140389 t=11833
ni zhe ci 	你這次	c=1 d=0.0497871 t=11833
ni zhe ge 	你這個	c=3 d=0.529988 t=11833
ni zhe liang ge 	你這兩個	c=1 d=0.449329 t=11833
ni zhe me 	你這麼	c=1 d=5.85968e-07 t=11833
ni zhi dao 	你知道	c=1 d=0.0175975 t=11833
ni zhi qian 	你之前	c=1 d=1 t=11769
ni zhi shi 	你只是	c=1 d=1.0762e-11 t=11833
ni zi ji 	你自己	c=1 d=0.0459593 t=11833
nian 	年	c=18 d=0.980199 t=11833
nian chu 	年初	c=1 d=0.0320647 t=11833
nian chu yi 	年初一	c=1 d=0.0338776 t=11833
nian di 	年底	c=3 d=0.543704 t=11833
nian ji 	年紀	c=1 d=0.0280154 t=11833
nian qing 	年輕	c=0 d=0.000737249 t=11833
nian tu 	粘土	c=1 d=0.313486 t=11833
nian xin 	年薪	c=1 d=0.286505 t=11833
nin 	您	c=6 d=0.410656 t=11833
niu 	扭	c=2 d=1.956 t=9545
nong 	弄	c=6 d=0.433177 t=11833
nong cun 	農村	c=1 d=0.00660453 t=11833
nong de 	弄得	c=1 d=5.97806e-07 t=11833
nong hao 	弄好	c=2 d=1.00159 t=11241
nu li 	努力	c=1 d=6.80798e-07 t=11833
nv 	女	c=1 d=0.113203 t=11833
nv che zhu 	女車主	c=1 d=0.386741 t=11833
nv de 	女的	c=1 d=1.24176e-18 t=11833
nv er 	女兒	c=1 d=0.0658748 t=11833
nv hai 	女孩	c=2 d=0.421052 t=11833
nv li 	女隸	c=1 d=6.77403e-07 t=11833
nv ren 	女人	c=1 d=0.196912 t=11833
nv sheng 	女生	c=7 d=1.13065 t=11833
o 	哦	c=38 d=3.11504 t=11833
o o 	哦哦	c=1 d=0.0515605 t=11833
ou mei 	歐美	c=1 d=8.11274e-11 t=11833
pa 	怕	c=3 d=0.0157644 t=11833
pa bu pa 	怕不怕	c=1 d=0.932394 t=11833
pa pa 	怕怕	c=0 d=0.00623495 t=11833
pai 	拍	c=3 d=0.000117489 t=11833
pai 	排	c=5 d=0.000797215 t=11833
pai 	派	c=1 d=0.537944 t=11833
pai 	牌	c=2 d=7.43444e-05 t=11833
pai fang 	排放	c=1 d=1.78234e-05 t=11833
pai mai 	拍賣	c=1 d=0.241714 t=11833
pai pai 	拍牌	c=2 d=7.43555e-05 t=11833
pai shui 	排水	c=8 d=0.683861 t=11833
pai zhao 	拍照	c=2 d=0.0250972 t=11833
pai zhao 	牌照	c=3 d=2.4308 t=11248
pai zhe 	排着	c=1 d=0.114178 t=11833
pai zi 	牌子	c=1 d=4.0468e-05 t=11833
pan 	攀	c=1 d=0.000101039 t=11833
pan 	潘	c=1 d=5.09503e-09 t=11833
pan 	盤	c=1 d=0.0138069 t=11833
pan duan 	判斷	c=4 d=0.0125486 t=11833
pang 	龐	c=3 d=2.87883 t=11404
pang bai 	旁白	c=1 d=1.40299e-13 t=11833
pang bian 	旁邊	c=1 d=2.08293e-15 t=11833
pao 	跑	c=2 d=0.0234005 t=11833
pao jiao 	泡腳	c=1 d=0.398519 t=11833
pei 	陪	c=1 d=0.0833256 t=11833
pei dui 	配對	c=1 d=0.0116203 t=11833
pei he 	配合	c=4 d=0.12493 t=11833
pei jian 	配件	c=3 d=0.1764 t=11833
pei jin 	配筋	c=1 d=0.0104621 t=11833
pei zhi 	配置	c=9 d=0.42102 t=11833
peng 	彭	c=3 d=0.0150127 t=11833
peng dao 	碰到	c=2 d=3.59494e-15 t=11833
peng tou 	碰頭	c=1 d=0.843665 t=11833
peng you 	朋友	c=1 d=0.0275983 t=11833
peng you quan 	朋友圈	c=1 d=0.000531398 t=11833
pi 	屁	c=1 d=8.52579e-07 t=11833
pi bi 	疲敝	c=1 d=2.52402e-10 t=11833
pi qi 	脾氣	c=2 d=0.359547 t=11833
pian 	偏	c=1 d=8.87373e-07 t=11833
pian 	片	c=1 d=0.759572 t=11833
pian 	騙	c=3 d=7.03587e-12 t=11833
pian cha 	偏差	c=1 d=2.83992e-15 t=11833
pian xiang 	偏向	c=1 d=6.43139e-14 t=11833
pian xin 	偏心	c=7 d=0.00322936 t=11833
pian yi 	便宜	c=2 d=0.000110555 t=11833
pian yuan 	偏遠	c=1 d=0.000505481 t=11833
piao 	票	c=1 d=5.50513e-08 t=11833
pin gai 	品改	c=1 d=0.0753961 t=11833
pin guo 	拼過	c=0 d=0.0155673 t=11833
pin jie 	拼接	c=8 d=1.80165e-15 t=11833
pin jun 	品均	c=1 d=2.33679e-15 t=11833
pin kuan 	拼寬	c=3 d=1.94351e-13 t=11833
pin ming 	拼命	c=1 d=0.00305798 t=11833
pin you tan 	貧鈾彈	c=0 d=0.0923116 t=11833
pin you tan hong 	貧鈾彈紅	c=1 d=0.927743 t=11833
pin zhuang 	拼裝	c=2 d=0.647265 t=11833
ping 	平	c=5 d=0.48973 t=11833
ping an 	平安	c=1 d=1 t=9894
ping bi 	屏蔽	c=1 d=1.41613e-05 t=11833
ping fen 	評分	c=1 d=0.285076 t=11833
ping guo 	蘋果	c=5 d=0.641924 t=11833
ping jun 	平均	c=1 d=0.367879 t=11833
ping mian 	平面	c=10 d=1.92758 t=11833
ping ri 	平日	c=0 d=3.00724e-13 t=11833
ping ri na tao 	平日那套	c=1 d=3.02231e-12 t=11833
ping ta 	平他	c=1 d=2.4796e-07 t=11833
ping tai 	平臺	c=23 d=0.938763 t=11833
ping ti a 	平提啊	c=1 d=0.172907 t=11833
ping xing 	平行	c=1 d=6.61127e-15 t=11833
ping yi 	平移	c=3 d=2.06047e-14 t=11833
ping zheng 	平整	c=1 d=4.12995e-09 t=11833
ping zheng 	憑證	c=1 d=0.0405589 t=11833
ping zhi 	平直	c=1 d=9.71602e-15 t=11833
po 	坡	c=1 d=0.113608 t=11833
po dao 	坡道	c=3 d=3.70645e-14 t=11833
po kou 	坡口	c=1 d=1.80645e-16 t=11833
pu 	鋪	c=2 d=0.268433 t=11833
pu dong 	浦東	c=3 d=1.00065 t=11422
pu ke 	撲克	c=2 d=2.0831e-18 t=11833
pu tong 	普通	c=3 d=2.73174e-05 t=11833
pu zhuang 	鋪裝	c=6 d=0.430637 t=11833
qi 	七	c=2 d=2.37457e-09 t=11833
qi 	其	c=2 d=0.0332404 t=11833
qi 	器	c=4 d=0.460153 t=11833
qi 	旗	c=2 d=1.3847e-12 t=11833
qi 	期	c=4 d=2.45495e-13 t=11833
qi 	起	c=1 d=0.0242909 t=11833
qi bu 	起步	c=1 d=3.20811e-08 t=11833
qi che 	汽車	c=5 d=1.24377 t=9386
qi dong 	啓動	c=4 d=0.298543 t=11833
qi dong 	啓東	c=1 d=8.78394e-05 t=11833
qi lai 	起來	c=3 d=0.0177743 t=11833
qi lin 	麒麟	c=1 d=0.130029 t=11833
qi shang 	七上	c=1 d=7.77451e-10 t=11833
qi shi 	其實	c=4 d=0.514274 t=11833
qi ta 	其他	c=7 d=0.537944 t=11833
qi yi 	歧義	c=1 d=1 t=11594
qi yin 	起因	c=1 d=1 t=11344
qi yong 	啓用	c=3 d=0.0125881 t=11833
qi yu 	其餘	c=1 d=2.69958e-07 t=11833
qi yu 	奇遇	c=1 d=2.68611e-07 t=11833
qi zhong 	器重	c=1 d=0.000395642 t=11833
qi zi 	妻子	c=1 d=0.138069 t=11833
qian 	前	c=8 d=0.963517 t=11833
qian 	錢	c=3 d=0.18452 t=11833
qian chui 	鉛錘	c=1 d=2.15602e-09 t=11833
qian duan 	前端	c=2 d=0.0504561 t=11833
qian hou 	前後	c=1 d=1.55858e-15 t=11833
qian lei 	牽累	c=1 d=0.00282287 t=11833
qian mian 	前面	c=1 d=1.84739e-15 t=11833
qian nian 	千年	c=2 d=6.63333e-17 t=11833
qian qi 	前期	c=1 d=1 t=9795
qian ti 	前提	c=1 d=2.07791e-16 t=11833
qian xing 	前行	c=1 d=1 t=11474
qian zhao 	千兆	c=1 d=0.00869506 t=11833
qian zi 	簽字	c=1 d=1 t=10047
qiang 	強	c=1 d=1.35193e-18 t=11833
qiang 	牆	c=1 d=1.62108e-07 t=11833
qiang du 	強度	c=1 d=0.19398 t=11833
qiang guo 	強國	c=1 d=1.60632e-17 t=11833
qiang zhi 	強制	c=3 d=0.0552538 t=11833
qiao 	喬	c=1 d=1 t=9615
qiao 	橋	c=22 d=1.81549 t=11833
qiao dun 	橋墩	c=4 d=0.00360656 t=11833
qiao ha 	橋哈	c=1 d=3.12294e-15 t=11833
qiao lian 	僑聯	c=1 d=1.17755e-11 t=11833
qiao liang 	橋樑	c=21 d=0.301242 t=11833
qiao mian 	橋面	c=8 d=0.0958001 t=11833
qiao ming pai 	橋名牌	c=1 d=1 t=11775
qiao tai 	橋臺	c=1 d=0.771052 t=11833
qie duan 	切斷	c=1 d=2.37089e-09 t=11833
qie huan 	切換	c=1 d=0.0480747 t=11833
qie xian 	切線	c=1 d=2.72857e-15 t=11833
qin 	秦	c=1 d=0.0191587 t=11833
qin qi 	親戚	c=1 d=1 t=9279
qin ren 	親人	c=1 d=0.0231676 t=11833
qin you 	親友	c=1 d=1 t=10984
qing 	情	c=2 d=0.0360864 t=11833
qing 	慶	c=1 d=4.96923e-09 t=11833
qing 	清	c=0 d=0.0331211 t=11833
qing 	請	c=2 d=0.000178665 t=11833
qing 	輕	c=3 d=8.95272e-11 t=11833
qing 	青	c=3 d=0.0531307 t=11833
qing chu 	清楚	c=2 d=0.535261 t=11833
qing chu 	清除	c=1 d=1 t=8713
qing dan 	清單	c=2 d=1.94176 t=9107
qing dao 	青島	c=6 d=0.737412 t=11833
qing di xi shu 	清底係數	c=1 d=0.332871 t=11833
qing hua 	清華	c=0 d=0.000527382 t=11833
qing hua cu 	清華粗	c=1 d=0.00530026 t=11833
qing jia 	請假	c=3 d=0.000265602 t=11833
qing kuang 	情況	c=5 d=0.834768 t=11833
qing nian 	青年	c=1 d=1.5037e-05 t=11833
qing qiu 	請求	c=4 d=1.45676 t=11833
qing shu ru 	請輸入	c=2 d=2.44391e-05 t=11833
qing song 	輕鬆	c=1 d=4.29704e-05 t=11833
qing xu 	情緒	c=2 d=0.0118551 t=11833
qiu 	秋	c=1 d=0.0581343 t=11833
qiu xue 	求學	c=1 d=0.937067 t=11833
qu 	區	c=10 d=0.0317272 t=11833
qu 	去	c=44 d=1.87595 t=11833
qu 	取	c=4 d=0.0945515 t=11833
qu bie 	區別	c=3 d=0.000145863 t=11833
qu chu 	去處	c=1 d=0.0020396 t=11833
qu dong 	驅動	c=2 d=0.00891518 t=11833
qu dong qi 	驅動器	c=1 d=0.0181334 t=11833
qu dong ren sheng 	驅動人生	c=1 d=1 t=8817
qu fu 	曲阜	c=1 d=1 t=9826
qu guo 	去過	c=0 d=0.00300468 t=11833
qu mian 	曲面	c=1 d=5.31669e-10 t=11833
qu na 	去哪	c=0 d=0.0402524 t=11833
qu na huai si 	去哪壞死	c=1 d=0.404542 t=11833
qu nian 	去年	c=2 d=0.00384213 t=11833
qu shi 	趨勢	c=1 d=0.000122182 t=11833
qu xian 	區縣	c=1 d=0.416862 t=11833
qu xian 	曲線	c=6 d=0.418952 t=11833
qu xiao 	取消	c=1 d=0.162308 t=11833
qu xiao kai ji 	取消開機	c=1 d=0.142987 t=11833
qu yong 	取用	c=2 d=4.86574e-17 t=11833
qu yu 	區域	c=9 d=0.177095 t=11833
quan 	全	c=7 d=0.00640138 t=11833
quan 	券	c=1 d=4.62211e-10 t=11833
quan 	圈	c=1 d=1 t=11684
quan bu 	全部	c=1 d=0.273898 t=11833
quan jia 	全家	c=1 d=1.97657e-16 t=11833
quan ju 	全局	c=1 d=4.8091e-06 t=11833
quan qiu 	全球	c=2 d=5.68034e-16 t=11833
quan quan 	勸勸	c=1 d=0.00975476 t=11833
quan quan 	圈圈	c=1 d=1.32701e-05 t=11833
quan shen 	全身	c=1 d=7.93157e-10 t=11833
quan shi 	全市	c=2 d=0.40657 t=11833
quan shi 	全是	c=2 d=0.408608 t=11833
quan wang 	全網	c=1 d=0.133989 t=11833
quan xian 	權限	c=2 d=0.0028681 t=11833
que 	缺	c=1 d=0.0753961 t=11833
que bie 	卻別	c=1 d=0.657047 t=11833
que ding 	確定	c=3 d=0.0284388 t=11833
que lou 	缺漏	c=1 d=8.10998e-07 t=11833
que ren 	確認	c=1 d=1 t=10048
que sheng 	缺省	c=1 d=2.88039e-05 t=11833
que shi 	確實	c=6 d=1.30065 t=11833
qun 	羣	c=1 d=0.0784731 t=11833
qun hui 	羣輝	c=1 d=0.102797 t=11833
qun li mian de 	羣裏面的	c=1 d=0.000146278 t=11833
ran 	然	c=1 d=0.00069264 t=11833
ran hou 	然後	c=19 d=0.541396 t=11833
rang 	讓	c=3 d=0.489192 t=11833
rang hou 	讓後	c=2 d=0.0178634 t=11833
rang ni 	讓你	c=1 d=0.0485578 t=11833
rang ren 	讓人	c=1 d=1.19885e-16 t=11833
rang ta 	讓他	c=0 d=6.05583e-13 t=11833
rang ta men 	讓他們	c=1 d=3.59163e-13 t=11833
rang wo 	讓我	c=3 d=0.918512 t=11833
re 	熱	c=1 d=1.58241e-17 t=11833
re jian 	熱鍵	c=1 d=0.843665 t=11833
ren 	人	c=18 d=1.03604 t=11833
ren 	刃	c=1 d=0.606531 t=11833
ren 	認	c=2 d=1.92774 t=9293
ren cai 	人才	c=1 d=1 t=9964
ren he 	任何	c=1 d=1.30073e-05 t=11833
ren jia 	人家	c=4 d=0.127454 t=11833
ren kong 	人孔	c=1 d=4.33344e-16 t=11833
ren min 	人民	c=1 d=0.0678809 t=11833
ren min bi 	人民幣	c=2 d=0.802519 t=11833
ren qun 	人羣	c=2 d=0.0526021 t=11833
ren sheng 	人生	c=0 d=0.1 t=8816
ren shi 	人事	c=2 d=1.28268 t=11833
ren shi 	認識	c=3 d=7.12834e-18 t=11833
ren shu 	人數	c=1 d=0.263158 t=11833
ren wu 	任務	c=2 d=0.00456197 t=11833
ren xing 	人形	c=2 d=0.0216536 t=11833
ren xing dao 	人行道	c=2 d=1.15326e-14 t=11833
ren xing qiao 	人形橋	c=1 d=0.217621 t=11833
ren xing qiao 	人行橋	c=2 d=0.563212 t=11833
ren yuan 	人員	c=3 d=2.09449 t=11833
ren zhen 	認真	c=1 d=0.120633 t=11833
ren zheng 	認證	c=3 d=2.80439e-06 t=11833
reng 	仍	c=1 d=0.00226541 t=11833
ri 	日	c=13 d=0.493998 t=11833
ri ben 	日本	c=1 d=0.126186 t=11833
ri qi 	日期	c=2 d=1.00012 t=11665
ri xi 	日系	c=1 d=9.78667e-12 t=11833
ri zhi 	日誌	c=2 d=0.29766 t=11833
ri zi 	日子	c=1 d=0.0761538 t=11833
rong 	榮	c=5 d=1.27808e-11 t=11833
rong yi 	容易	c=1 d=1 t=9143
rong zhong 	容重	c=2 d=1.99501 t=9467
rou bao 	肉包	c=1 d=0.00131358 t=11833
ru 	入	c=1 d=1.13469e-16 t=11833
ru 	如	c=1 d=0.794534 t=11833
ru 	茹	c=1 d=0.0193512 t=11833
ru guo 	如果	c=11 d=0.51084 t=11833
ru he 	如何	c=6 d=0.241714 t=11833
ru hu 	入戶	c=1 d=0.000345679 t=11833
ru men 	入門	c=2 d=1.02265e-10 t=11833
ru shang 	如上	c=1 d=2.0615e-11 t=11833
ruan jian 	軟件	c=3 d=0.289384 t=11833
sa 	撒	c=1 d=0.588605 t=11833
sa di fang 	撒地方	c=1 d=1.21697e-16 t=11833
sa fan de sa 	撒范德薩	c=1 d=1.57832e-16 t=11833
sa fei 	薩菲	c=2 d=2.94438e-16 t=11833
sa fei da suan 	薩菲打算	c=1 d=1.15184e-16 t=11833
sa huang 	撒謊	c=0 d=2.06543e-05 t=11833
sa huang na ge 	撒謊那個	c=1 d=0.000207579 t=11833
san 	三	c=5 d=0.822158 t=11833
san ci 	三次	c=1 d=2.46295e-16 t=11833
san da 	三大	c=1 d=1.23536e-16 t=11833
san ge 	三個	c=2 d=1.00004 t=10832
san gu ma 	三股嗎	c=5 d=0.405772 t=11833
san guan 	三觀	c=1 d=2.74981e-18 t=11833
san guan 	三關	c=1 d=2.73609e-18 t=11833
san ji 	三級	c=1 d=0.105399 t=11833
san nian 	三年	c=1 d=2.76124e-08 t=11833
sang shi 	喪屍	c=1 d=0.0837432 t=11833
sao rao 	騷擾	c=1 d=2.56216e-10 t=11833
sao zi 	嫂子	c=1 d=0.000109455 t=11833
se 	色	c=5 d=0.00171018 t=11833
se mo 	色魔	c=1 d=1.28801e-07 t=11833
sha 	啥	c=6 d=0.476002 t=11833
sha 	砂	c=2 d=0.318224 t=11833
sha 	紗	c=1 d=6.47926e-13 t=11833
sha gua 	傻瓜	c=1 d=5.6173e-10 t=11833
shai 	曬	c=2 d=8.59694e-08 t=11833
shai xuan 	篩選	c=1 d=0.00332928 t=11833
shan 	刪	c=1 d=5.19707e-07 t=11833
shan 	善	c=1 d=1 t=9112
shan 	山	c=2 d=0.249075 t=11833
shan chu 	刪除	c=7 d=1.48555 t=11833
shan dong 	山東	c=10 d=0.514274 t=11833
shan ge 	山歌	c=1 d=1 t=11429
shang 	上	c=113 d=4.95146 t=11833
shang ban 	上班	c=4 d=0.193013 t=11833
shang bu 	上部	c=1 d=9.3062e-08 t=11833
shang chuan 	上傳	c=1 d=1 t=10761
shang chuang 	上牀	c=1 d=0.0146986 t=11833
shang ci 	上次	c=2 d=7.28809e-14 t=11833
shang eh zi 	上誒字	c=1 d=1 t=9146
shang ge 	上個	c=2 d=1.88692 t=11454
shang hai 	上海	c=33 d=0.980474 t=11833
shang hai shi 	上海市	c=2 d=6.34222e-08 t=11833
shang ke 	上課	c=2 d=2.64285e-09 t=11833
shang le 	傷了	c=1 d=0.204948 t=11833
shang liang 	商量	c=1 d=3.77385e-07 t=11833
shang men 	上門	c=1 d=1 t=9277
shang mi 	商謎	c=0 d=0.00111647 t=11833
shang mi a 	商謎啊	c=1 d=0.0112206 t=11833
shang mian 	上面	c=3 d=0.0231363 t=11833
shang pai 	上牌	c=2 d=3.23506e-10 t=11833
shang qu 	上去	c=2 d=0.0226413 t=11833
shang sheng 	上升	c=2 d=0.268474 t=11833
shang suo 	上鎖	c=6 d=3.03817e-05 t=11833
shang tou 	上頭	c=1 d=0.782705 t=11833
shang wu 	上午	c=2 d=1.04404e-07 t=11833
shang xia 	上下	c=2 d=0.00133343 t=11833
shang xia ban 	上下班	c=1 d=1 t=10411
shang xian 	上線	c=1 d=5.66392e-19 t=11833
shang xin 	傷心	c=1 d=0.00425356 t=11833
shang xue 	上學	c=1 d=1 t=10556
shang ye 	商業	c=1 d=0.00032718 t=11833
shao 	少	c=3 d=0.0720828 t=11833
shao 	紹	c=1 d=1.33802e-14 t=11833
shao 	邵	c=5 d=0.383563 t=11833
shao deng 	稍等	c=1 d=1 t=10976
shao huan 	少還	c=1 d=0.000992781 t=11833
shao nian 	少年	c=1 d=0.160414 t=11833
shao wei 	稍微	c=3 d=0.786628 t=11833
shao you 	稍有	c=1 d=6.8989e-16 t=11833
she 	設	c=1 d=2.93398e-16 t=11833
she bei 	設備	c=3 d=0.246597 t=11833
she de 	捨得	c=1 d=1.12903e-16 t=11833
she ding 	設定	c=2 d=0.467666 t=11833
she hui 	社會	c=1 d=0.00551656 t=11833
she ji 	涉及	c=1 d=0.0953692 t=11833
she ji 	設計	c=26 d=2.08166 t=11833
she ji yuan 	設計院	c=1 d=0.00019549 t=11833
she me 	什麼	c=3 d=0.245367 t=11833
she shi 	設施	c=3 d=1.20093e-07 t=11833
she zhi 	設置	c=24 d=2.54284 t=11833
she zi 	社子	c=1 d=0.729789 t=11833
shen 	深	c=1 d=0.208045 t=11833
shen 	神	c=1 d=0.511709 t=11833
shen 	身	c=15 d=0.0137051 t=11833
shen chen 	深沉	c=1 d=0.0884781 t=11833
shen cheng 	申城	c=1 d=0.0629761 t=11833
shen du 	深度	c=5 d=0.732676 t=11833
shen fen 	身份	c=1 d=1 t=10779
shen fen zheng 	身份證	c=1 d=1.65012e-10 t=11833
shen he 	審覈	c=3 d=0.794534 t=11833
shen hua 	深化	c=3 d=4.14877e-06 t=11833
shen ke 	深刻	c=2 d=6.36632e-12 t=11833
shen me 	什麼	c=39 d=1.2745 t=11833
shen me de 	什麼的	c=2 d=1.95123 t=9993
shen miao 	神廟	c=3 d=1.42236e-18 t=11833
shen qi 	神奇	c=1 d=2.39594e-15 t=11833
shen qing 	申請	c=4 d=2.4621e-05 t=11833
shen shang 	身上	c=1 d=0.217621 t=11833
shen suo 	伸縮	c=1 d=0.0883857 t=11833
shen suo fen 	伸縮分	c=1 d=0.079659 t=11833
shen suo feng 	伸縮縫	c=1 d=0.0699482 t=11833
shen ti 	身體	c=2 d=0.822958 t=11833
shen zhi 	甚至	c=1 d=0.0157644 t=11833
sheng 	勝	c=1 d=1 t=11833
sheng 	昇	c=2 d=8.86345e-15 t=11833
sheng 	生	c=3 d=0.0382968 t=11833
sheng 	省	c=3 d=0.516862 t=11833
sheng chan 	生產	c=1 d=1 t=11619
sheng cheng 	生成	c=9 d=0.270951 t=11833
sheng cheng qi 	生成器	c=4 d=0.0258907 t=11833
